purchase_amount,day_of_week,time_of_day,store_type,online_or_inperson,is_valid
204,Tuesday,23,Retail,In-Person,0
546,Saturday,18,Restaurant,In-Person,1
760,Monday,14,Retail,Online,0
755,Friday,15,Online,Online,1
100,Wednesday,10,Retail,Online,1
199,Sunday,21,Grocery,Online,1
743,Tuesday,19,Restaurant,Online,0
8,Wednesday,21,Retail,In-Person,1
736,Thursday,22,Retail,Online,1
219,Monday,20,Grocery,In-Person,0
914,Wednesday,17,Restaurant,Online,0
939,Saturday,11,Restaurant,Online,0
117,Saturday,20,Online,Online,0
397,Tuesday,17,Retail,Online,1
876,Thursday,13,Grocery,Online,0
161,Thursday,8,Grocery,In-Person,0
545,Friday,11,Grocery,In-Person,1
585,Thursday,13,Retail,In-Person,0
804,Saturday,16,Retail,Online,1
445,Wednesday,0,Online,Online,1
880,Friday,17,Online,In-Person,0
383,Saturday,9,Restaurant,Online,1
560,Thursday,20,Online,Online,0
289,Tuesday,23,Grocery,Online,1
900,Wednesday,17,Grocery,Online,1
455,Sunday,5,Online,In-Person,0
24,Tuesday,21,Online,Online,0
920,Thursday,1,Retail,Online,0
611,Thursday,12,Online,In-Person,0
559,Friday,16,Grocery,In-Person,1
534,Saturday,4,Online,In-Person,1
194,Tuesday,18,Restaurant,In-Person,0
327,Saturday,10,Restaurant,In-Person,1
899,Saturday,18,Grocery,Online,1
274,Sunday,1,Grocery,Online,1
866,Tuesday,14,Retail,In-Person,1
210,Tuesday,9,Retail,In-Person,1
815,Friday,23,Grocery,Online,1
995,Tuesday,1,Online,In-Person,1
610,Thursday,8,Online,In-Person,0
903,Thursday,6,Online,Online,1
741,Sunday,7,Restaurant,Online,0
381,Sunday,3,Restaurant,Online,0
672,Wednesday,11,Restaurant,In-Person,0
196,Saturday,8,Grocery,In-Person,1
767,Wednesday,23,Restaurant,Online,0
81,Friday,13,Restaurant,Online,1
691,Sunday,0,Grocery,In-Person,0
687,Thursday,2,Retail,In-Person,1
651,Saturday,0,Restaurant,In-Person,1
925,Sunday,6,Retail,In-Person,0
624,Thursday,2,Restaurant,Online,0
575,Saturday,6,Retail,In-Person,0
381,Friday,3,Online,In-Person,0
801,Monday,14,Grocery,Online,0
872,Wednesday,18,Retail,Online,0
15,Sunday,19,Retail,Online,0
131,Saturday,9,Grocery,Online,0
327,Tuesday,9,Retail,Online,1
208,Wednesday,9,Restaurant,In-Person,0
647,Thursday,6,Retail,Online,0
404,Friday,22,Restaurant,Online,1
486,Friday,18,Restaurant,Online,0
513,Wednesday,4,Grocery,Online,1
394,Sunday,5,Grocery,In-Person,1
444,Monday,8,Grocery,In-Person,1
881,Tuesday,21,Online,Online,0
592,Sunday,3,Online,Online,0
659,Wednesday,22,Online,In-Person,1
468,Saturday,10,Online,Online,1
36,Wednesday,15,Restaurant,In-Person,0
604,Saturday,9,Retail,In-Person,0
68,Sunday,17,Restaurant,Online,0
761,Thursday,17,Retail,Online,1
787,Friday,11,Retail,In-Person,1
621,Sunday,15,Retail,In-Person,0
884,Wednesday,13,Retail,Online,0
609,Thursday,2,Grocery,In-Person,0
360,Thursday,10,Restaurant,Online,0
716,Saturday,4,Grocery,Online,1
974,Saturday,20,Online,Online,0
349,Tuesday,1,Grocery,Online,0
585,Saturday,2,Restaurant,In-Person,0
158,Friday,21,Online,In-Person,0
641,Saturday,13,Grocery,Online,0
134,Tuesday,12,Grocery,Online,0
751,Wednesday,13,Retail,In-Person,0
447,Tuesday,7,Online,Online,1
185,Wednesday,6,Grocery,Online,1
351,Thursday,8,Restaurant,In-Person,0
181,Monday,1,Online,Online,1
192,Tuesday,16,Grocery,Online,0
887,Sunday,23,Retail,In-Person,1
547,Saturday,5,Grocery,Online,1
75,Friday,9,Retail,In-Person,1
684,Tuesday,22,Online,In-Person,1
676,Tuesday,4,Restaurant,In-Person,0
268,Friday,5,Grocery,In-Person,0
282,Sunday,13,Restaurant,In-Person,0
940,Friday,8,Grocery,Online,0
947,Sunday,1,Grocery,Online,0
314,Sunday,1,Online,Online,1
914,Monday,8,Restaurant,Online,0
246,Monday,20,Online,Online,1
216,Thursday,18,Retail,Online,1
615,Friday,19,Online,Online,1
478,Wednesday,23,Online,In-Person,0
659,Sunday,6,Retail,In-Person,1
995,Friday,8,Online,Online,0
900,Friday,0,Grocery,In-Person,1
628,Monday,19,Online,Online,1
912,Monday,23,Online,In-Person,1
476,Tuesday,10,Retail,In-Person,1
138,Monday,14,Online,Online,1
205,Tuesday,16,Grocery,In-Person,1
498,Monday,18,Restaurant,In-Person,1
846,Friday,11,Online,In-Person,0
899,Thursday,10,Retail,In-Person,1
459,Sunday,18,Retail,Online,0
120,Tuesday,11,Grocery,In-Person,1
730,Saturday,21,Online,Online,1
888,Sunday,4,Grocery,Online,1
778,Saturday,19,Retail,Online,1
998,Tuesday,13,Retail,Online,0
816,Sunday,6,Grocery,In-Person,0
211,Friday,7,Retail,In-Person,1
172,Wednesday,16,Retail,Online,0
436,Friday,7,Online,In-Person,1
185,Thursday,22,Restaurant,Online,0
122,Wednesday,18,Grocery,Online,0
192,Sunday,19,Grocery,In-Person,0
525,Tuesday,14,Grocery,In-Person,0
78,Wednesday,7,Restaurant,In-Person,1
939,Wednesday,13,Retail,In-Person,0
956,Friday,23,Online,Online,1
515,Saturday,20,Restaurant,In-Person,0
126,Friday,16,Restaurant,Online,1
516,Thursday,4,Online,Online,1
982,Wednesday,7,Grocery,In-Person,1
531,Wednesday,14,Restaurant,Online,0
938,Wednesday,0,Retail,In-Person,0
280,Thursday,20,Retail,In-Person,1
913,Monday,18,Online,Online,1
816,Wednesday,8,Online,In-Person,1
709,Wednesday,4,Online,In-Person,0
366,Thursday,14,Retail,In-Person,1
512,Saturday,8,Restaurant,In-Person,0
286,Saturday,18,Restaurant,Online,0
268,Wednesday,17,Restaurant,Online,0
545,Saturday,3,Online,In-Person,1
674,Wednesday,20,Grocery,In-Person,1
284,Saturday,13,Grocery,Online,1
716,Saturday,23,Restaurant,In-Person,1
736,Thursday,5,Grocery,Online,1
284,Thursday,0,Retail,In-Person,1
860,Tuesday,16,Retail,Online,1
98,Monday,4,Restaurant,In-Person,0
241,Saturday,18,Restaurant,Online,0
150,Wednesday,2,Retail,In-Person,1
293,Saturday,7,Retail,In-Person,1
963,Sunday,13,Retail,Online,0
423,Monday,2,Grocery,Online,0
973,Sunday,18,Grocery,Online,1
693,Wednesday,0,Grocery,Online,1
900,Friday,3,Restaurant,Online,1
597,Wednesday,1,Retail,In-Person,1
927,Tuesday,18,Grocery,In-Person,0
298,Wednesday,13,Online,Online,1
799,Saturday,17,Restaurant,In-Person,0
800,Monday,6,Restaurant,Online,0
10,Sunday,14,Online,Online,1
583,Saturday,4,Online,Online,0
157,Tuesday,16,Retail,Online,1
632,Monday,16,Online,Online,0
47,Tuesday,9,Restaurant,Online,0
999,Thursday,13,Retail,Online,0
807,Sunday,8,Grocery,Online,0
561,Wednesday,3,Online,Online,1
47,Wednesday,1,Retail,In-Person,1
147,Sunday,2,Retail,In-Person,0
825,Tuesday,21,Restaurant,In-Person,0
134,Monday,9,Online,In-Person,1
103,Tuesday,23,Grocery,Online,1
232,Saturday,9,Retail,Online,1
57,Monday,5,Retail,In-Person,1
568,Sunday,1,Online,Online,1
483,Sunday,18,Online,Online,0
129,Sunday,18,Restaurant,Online,0
919,Wednesday,11,Restaurant,In-Person,0
616,Saturday,12,Grocery,Online,1
25,Monday,20,Grocery,Online,0
800,Wednesday,23,Grocery,In-Person,1
964,Sunday,14,Online,In-Person,1
281,Monday,5,Restaurant,Online,1
468,Friday,10,Grocery,In-Person,0
511,Thursday,23,Restaurant,In-Person,0
424,Tuesday,10,Grocery,In-Person,1
68,Tuesday,3,Online,Online,1
681,Friday,16,Restaurant,Online,0
980,Sunday,21,Retail,Online,1
621,Sunday,20,Restaurant,Online,0
31,Monday,22,Restaurant,Online,1
938,Wednesday,15,Online,In-Person,1
770,Tuesday,20,Retail,Online,0
917,Sunday,7,Online,Online,1
30,Friday,0,Restaurant,Online,0
734,Monday,19,Grocery,Online,1
383,Tuesday,20,Retail,In-Person,0
278,Wednesday,4,Restaurant,In-Person,1
167,Wednesday,15,Restaurant,Online,1
442,Friday,3,Grocery,In-Person,1
183,Sunday,16,Grocery,Online,0
351,Friday,18,Restaurant,Online,1
723,Thursday,9,Grocery,Online,1
709,Wednesday,8,Restaurant,In-Person,1
627,Sunday,6,Online,Online,1
295,Thursday,0,Grocery,In-Person,1
232,Saturday,17,Online,Online,0
357,Tuesday,5,Online,Online,1
290,Thursday,18,Grocery,In-Person,0
661,Tuesday,6,Retail,In-Person,0
983,Sunday,16,Retail,In-Person,0
183,Wednesday,7,Restaurant,Online,0
369,Thursday,1,Online,Online,0
477,Tuesday,22,Restaurant,In-Person,1
677,Thursday,19,Retail,In-Person,1
374,Thursday,3,Online,Online,0
46,Tuesday,11,Grocery,In-Person,0
486,Saturday,17,Retail,In-Person,1
890,Wednesday,19,Online,In-Person,1
193,Wednesday,12,Online,Online,0
594,Tuesday,15,Retail,In-Person,1
210,Wednesday,8,Retail,Online,1
596,Tuesday,14,Restaurant,Online,0
36,Friday,11,Online,In-Person,1
856,Saturday,2,Grocery,In-Person,0
299,Tuesday,0,Retail,Online,1
936,Tuesday,2,Restaurant,Online,1
816,Monday,7,Retail,In-Person,0
755,Sunday,2,Online,In-Person,0
16,Tuesday,7,Online,In-Person,1
605,Tuesday,15,Restaurant,Online,1
858,Thursday,8,Online,In-Person,1
231,Friday,15,Retail,In-Person,1
655,Tuesday,23,Grocery,In-Person,0
375,Saturday,19,Online,In-Person,0
839,Wednesday,10,Online,Online,1
749,Saturday,12,Online,In-Person,1
214,Thursday,22,Grocery,In-Person,0
944,Wednesday,20,Restaurant,Online,0
295,Friday,1,Retail,Online,0
418,Friday,4,Restaurant,Online,0
414,Saturday,4,Retail,In-Person,0
781,Saturday,10,Online,Online,1
690,Wednesday,11,Restaurant,Online,0
730,Monday,18,Restaurant,Online,1
314,Saturday,7,Restaurant,Online,1
360,Tuesday,18,Retail,In-Person,1
626,Saturday,4,Retail,In-Person,0
383,Thursday,18,Retail,Online,0
809,Saturday,16,Grocery,In-Person,0
597,Friday,9,Restaurant,In-Person,0
127,Wednesday,3,Restaurant,In-Person,1
976,Sunday,10,Grocery,Online,1
351,Wednesday,6,Online,In-Person,0
933,Sunday,0,Retail,In-Person,0
371,Sunday,19,Grocery,In-Person,1
563,Tuesday,11,Grocery,In-Person,0
550,Tuesday,23,Grocery,Online,1
523,Friday,16,Retail,In-Person,1
55,Monday,20,Retail,In-Person,0
209,Sunday,12,Online,In-Person,0
647,Monday,18,Grocery,Online,1
608,Saturday,19,Grocery,In-Person,1
403,Wednesday,7,Retail,Online,0
791,Monday,8,Grocery,Online,1
943,Monday,6,Restaurant,In-Person,1
716,Monday,15,Retail,In-Person,0
146,Thursday,19,Grocery,In-Person,0
402,Wednesday,2,Retail,Online,1
450,Monday,6,Restaurant,In-Person,0
660,Tuesday,0,Restaurant,Online,1
456,Monday,12,Online,In-Person,1
34,Wednesday,10,Grocery,Online,1
638,Monday,11,Grocery,Online,0
318,Thursday,1,Grocery,Online,1
361,Sunday,22,Grocery,In-Person,0
826,Wednesday,13,Retail,Online,1
528,Tuesday,23,Restaurant,Online,0
553,Friday,2,Retail,Online,1
766,Saturday,15,Restaurant,In-Person,1
506,Thursday,21,Grocery,In-Person,1
157,Tuesday,7,Retail,In-Person,0
440,Wednesday,22,Retail,Online,1
537,Friday,18,Retail,Online,1
873,Monday,1,Retail,Online,1
616,Thursday,3,Online,Online,1
33,Sunday,15,Retail,Online,1
558,Wednesday,1,Restaurant,Online,0
990,Monday,21,Retail,In-Person,0
146,Saturday,10,Grocery,Online,1
261,Thursday,6,Restaurant,In-Person,0
55,Monday,19,Restaurant,Online,0
76,Thursday,11,Grocery,In-Person,0
379,Monday,2,Restaurant,Online,1
741,Tuesday,3,Restaurant,Online,1
893,Sunday,18,Online,Online,0
352,Wednesday,1,Restaurant,In-Person,0
176,Wednesday,6,Retail,In-Person,0
396,Saturday,18,Restaurant,In-Person,1
874,Sunday,14,Online,Online,0
335,Tuesday,8,Retail,In-Person,1
956,Thursday,13,Grocery,In-Person,0
801,Monday,0,Retail,Online,0
344,Thursday,8,Retail,Online,1
672,Saturday,11,Online,Online,0
480,Tuesday,20,Online,In-Person,1
13,Saturday,13,Grocery,Online,1
868,Friday,9,Online,Online,1
964,Monday,3,Retail,Online,1
779,Thursday,2,Retail,In-Person,0
255,Saturday,20,Grocery,Online,1
268,Friday,16,Grocery,Online,1
380,Sunday,18,Retail,Online,1
118,Saturday,5,Retail,Online,1
255,Friday,13,Retail,Online,0
224,Sunday,2,Retail,Online,0
575,Saturday,5,Retail,Online,1
525,Wednesday,4,Retail,In-Person,1
880,Thursday,19,Online,Online,1
229,Sunday,23,Grocery,In-Person,0
426,Thursday,12,Grocery,Online,1
717,Saturday,20,Online,In-Person,1
150,Thursday,0,Online,In-Person,0
941,Thursday,20,Online,Online,1
722,Tuesday,15,Grocery,Online,0
255,Monday,18,Online,In-Person,0
605,Friday,2,Retail,Online,0
538,Monday,14,Grocery,In-Person,1
71,Saturday,6,Grocery,In-Person,0
709,Tuesday,9,Online,In-Person,1
759,Monday,17,Restaurant,Online,0
722,Thursday,18,Restaurant,In-Person,1
570,Saturday,5,Retail,Online,1
192,Thursday,18,Online,In-Person,1
771,Thursday,20,Grocery,In-Person,0
657,Wednesday,22,Grocery,Online,0
771,Tuesday,6,Retail,In-Person,0
320,Wednesday,13,Restaurant,In-Person,0
776,Tuesday,4,Restaurant,In-Person,0
458,Saturday,9,Restaurant,Online,1
508,Tuesday,6,Retail,In-Person,1
47,Wednesday,2,Online,Online,1
30,Friday,18,Grocery,In-Person,0
821,Tuesday,22,Grocery,Online,1
838,Monday,14,Retail,In-Person,1
177,Sunday,17,Restaurant,In-Person,0
500,Monday,19,Restaurant,Online,0
624,Thursday,11,Grocery,In-Person,1
435,Wednesday,15,Retail,In-Person,0
95,Monday,18,Online,In-Person,1
493,Saturday,23,Grocery,In-Person,1
157,Wednesday,18,Grocery,Online,0
209,Wednesday,8,Retail,Online,1
99,Sunday,5,Restaurant,In-Person,1
52,Friday,14,Online,In-Person,1
3,Saturday,9,Retail,Online,0
360,Saturday,11,Retail,In-Person,1
388,Wednesday,20,Online,In-Person,0
237,Friday,19,Online,Online,0
34,Tuesday,16,Restaurant,Online,0
353,Friday,3,Online,Online,1
334,Monday,10,Grocery,In-Person,0
61,Friday,13,Grocery,In-Person,0
726,Wednesday,9,Grocery,In-Person,1
941,Saturday,16,Grocery,In-Person,0
877,Monday,20,Online,In-Person,1
464,Wednesday,21,Online,Online,0
499,Thursday,0,Grocery,Online,0
962,Wednesday,2,Retail,Online,1
637,Friday,0,Retail,Online,0
301,Saturday,19,Retail,In-Person,1
662,Friday,1,Online,Online,1
611,Sunday,16,Restaurant,In-Person,1
474,Sunday,4,Online,In-Person,1
525,Tuesday,14,Grocery,Online,1
851,Sunday,5,Grocery,In-Person,1
524,Wednesday,19,Retail,In-Person,0
681,Thursday,18,Grocery,In-Person,0
364,Sunday,17,Grocery,Online,0
96,Tuesday,21,Grocery,In-Person,1
201,Tuesday,17,Restaurant,Online,1
9,Tuesday,0,Grocery,In-Person,0
100,Tuesday,19,Retail,Online,0
871,Monday,22,Online,In-Person,0
881,Thursday,22,Retail,In-Person,0
211,Friday,20,Restaurant,In-Person,0
346,Saturday,23,Grocery,In-Person,0
371,Wednesday,19,Online,In-Person,1
641,Monday,16,Retail,Online,0
550,Thursday,22,Online,Online,1
925,Friday,15,Online,In-Person,0
109,Wednesday,2,Grocery,Online,0
159,Tuesday,9,Restaurant,In-Person,0
530,Thursday,3,Retail,Online,0
346,Tuesday,13,Online,Online,0
617,Wednesday,9,Grocery,Online,0
857,Monday,19,Online,In-Person,0
418,Tuesday,2,Restaurant,Online,1
958,Sunday,7,Online,Online,0
737,Monday,6,Grocery,Online,1
820,Saturday,23,Online,Online,1
969,Saturday,13,Online,In-Person,1
668,Wednesday,22,Online,In-Person,0
587,Thursday,23,Restaurant,Online,0
439,Wednesday,15,Retail,In-Person,1
211,Sunday,17,Retail,Online,0
582,Thursday,11,Restaurant,Online,1
878,Thursday,14,Online,Online,0
840,Wednesday,17,Retail,Online,1
104,Thursday,15,Retail,Online,1
902,Thursday,14,Retail,In-Person,1
486,Thursday,10,Grocery,Online,1
894,Friday,11,Online,In-Person,0
383,Friday,22,Retail,In-Person,0
686,Saturday,17,Grocery,In-Person,0
175,Wednesday,4,Retail,In-Person,1
17,Monday,0,Restaurant,Online,0
737,Thursday,20,Retail,Online,0
312,Thursday,14,Restaurant,In-Person,0
778,Saturday,20,Retail,Online,1
951,Sunday,0,Retail,In-Person,1
437,Tuesday,23,Restaurant,Online,1
935,Sunday,1,Restaurant,In-Person,0
207,Sunday,10,Online,Online,1
426,Thursday,11,Online,Online,0
963,Wednesday,0,Online,Online,1
360,Monday,10,Restaurant,Online,1
880,Sunday,14,Online,Online,0
398,Thursday,6,Online,In-Person,0
462,Monday,17,Restaurant,In-Person,0
553,Wednesday,20,Retail,Online,0
345,Thursday,13,Retail,In-Person,1
718,Thursday,19,Restaurant,Online,0
400,Thursday,0,Retail,Online,1
923,Thursday,18,Restaurant,Online,0
622,Tuesday,23,Retail,Online,0
917,Tuesday,1,Retail,Online,1
82,Sunday,15,Retail,Online,1
908,Thursday,15,Restaurant,In-Person,1
919,Saturday,12,Retail,In-Person,0
354,Saturday,2,Restaurant,In-Person,1
120,Sunday,10,Retail,Online,1
411,Monday,23,Grocery,Online,1
451,Thursday,8,Online,Online,1
813,Friday,13,Retail,Online,1
542,Thursday,9,Restaurant,In-Person,1
311,Thursday,16,Retail,In-Person,1
540,Sunday,13,Grocery,In-Person,0
934,Tuesday,14,Retail,In-Person,0
256,Thursday,23,Retail,In-Person,1
497,Thursday,12,Retail,Online,0
283,Wednesday,9,Retail,In-Person,1
131,Sunday,19,Online,In-Person,1
654,Monday,15,Online,In-Person,1
510,Friday,23,Grocery,In-Person,1
728,Friday,6,Grocery,Online,1
311,Monday,7,Restaurant,In-Person,0
689,Monday,8,Retail,In-Person,1
8,Thursday,5,Grocery,In-Person,0
198,Wednesday,12,Online,In-Person,0
411,Thursday,18,Retail,Online,1
425,Wednesday,2,Retail,Online,1
721,Thursday,17,Grocery,Online,1
358,Wednesday,12,Restaurant,Online,0
955,Sunday,7,Online,Online,0
114,Friday,19,Restaurant,In-Person,0
959,Thursday,23,Restaurant,In-Person,1
873,Monday,8,Restaurant,Online,1
145,Tuesday,17,Restaurant,Online,0
941,Sunday,22,Retail,Online,1
735,Tuesday,22,Restaurant,In-Person,0
614,Thursday,6,Grocery,In-Person,1
217,Thursday,10,Online,Online,1
236,Sunday,14,Retail,Online,0
10,Thursday,6,Online,In-Person,1
247,Thursday,2,Online,In-Person,1
855,Wednesday,3,Retail,In-Person,1
420,Saturday,13,Restaurant,Online,1
574,Wednesday,18,Online,In-Person,0
771,Tuesday,0,Retail,In-Person,1
33,Sunday,22,Grocery,Online,0
340,Monday,3,Grocery,In-Person,1
807,Sunday,6,Online,Online,0
524,Sunday,19,Restaurant,In-Person,0
385,Saturday,9,Grocery,Online,0
199,Sunday,6,Retail,In-Person,0
776,Wednesday,14,Online,Online,0
47,Saturday,4,Online,Online,1
970,Friday,5,Grocery,Online,1
